,Tweet_text,0
466,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
467,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
468,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
469,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
470,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
471,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
472,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
473,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
474,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
475,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
476,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
477,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
478,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
479,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
480,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
481,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
482,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
483,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
484,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
485,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
486,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
487,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
488,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
489,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
490,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
491,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
492,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
493,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
494,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
495,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
496,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
497,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
498,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
499,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
500,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
501,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
502,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
503,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
504,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
505,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
506,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
507,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
508,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
509,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
510,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
511,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
512,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
513,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
514,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
515,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
516,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
517,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
518,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
519,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
520,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
521,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
522,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
523,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
524,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
525,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
526,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
527,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
528,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
529,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
530,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
531,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
532,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
533,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
534,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
535,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
536,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
537,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
538,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
539,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
540,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
541,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
542,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
543,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
544,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
545,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
546,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
547,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
548,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
549,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
550,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
551,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
552,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
553,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
554,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
555,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
556,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
557,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
558,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
559,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
560,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
561,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
562,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
563,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
564,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
565,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
566,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
567,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
568,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
569,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
570,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
571,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
572,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
573,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
574,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
575,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
576,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
577,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
578,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
579,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
580,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
581,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
582,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
583,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
584,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
585,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
586,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
587,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
588,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
589,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
590,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
591,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
592,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
593,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
594,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
595,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
596,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
597,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
598,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
599,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
600,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
601,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
602,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
603,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
604,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
605,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
606,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
607,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
608,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
609,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
610,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
611,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
612,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
613,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
614,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
615,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
616,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
617,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
618,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
619,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
620,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
621,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
622,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
623,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
624,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
625,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
626,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
627,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
628,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
629,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
630,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
631,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
632,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
633,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
634,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
635,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
636,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
637,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
638,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
639,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
640,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
641,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
642,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
643,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
644,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
645,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
646,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
647,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
648,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
649,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
650,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
651,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
652,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
653,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
654,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
655,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
656,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
657,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
658,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
659,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
660,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
661,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
662,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
663,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
664,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
665,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
666,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
667,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
668,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
669,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
670,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
671,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
672,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
673,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
674,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
675,,Getting all the info on building muscles. Fun fact: we have 50-100 trillion cells in our body and 260+ types! #WomenInSTEM @Guiding_LaSER
676,,"Pleasantly surprised by the number of women at the #NSSC17, speakers and delegates alike. Women in STEM are on the up!"
677,,Qubaa Pitching their idea to Judges @kavekeruth  @technovation  #womeninSTEM #GirlsforAchange
678,,Did a Cyber Clinic at the Attorney General's office! #WomenAndTechnology  #womenintech #womeninstem 
679,,Thank you to the amazing and inspiring women from the Women in STEM panel this morning.  #fhsstudentchoiceday
680,,"On this day in 1953, Watson & Crick announced discovery of #DNA double helix; a feat made possible by work of Rosalind Franklin #womeninSTEM "
681,,"Lego approved the @LegoNASAWomen set designed by MIT staff member Maia Weinstock @20tauri, which celebrates the history of #WomeninSTEM.  "
682,,"To kick off #womenshistorymonth, a new video series featuring MIT #womeninSTEM. First up: Margaret Hamilton "
683,,Women in #VRAR Funding is drying up for #VR But there's still money for #AR and #WomeninMR #MixedReality #IoTNZ #WomeninTECH #WomeninSTEM 
684,,"Day 3 of #WomensHistoryMonth early modern #womeninSTEM: Caterina Sforza (1463-1509), alchemist, maker of medicines, and experimenter. "
685,,"Our next event is on Saturday, April 1! We are presenting another Women In Stem Panel at @ATT headquarters and we hope you will join us."
686,,Teaching middle school girls to be wildlife biologists! #discoveringthescientistwithin #womeninSTEM @OSUAgSci #osufw @OregonState
687,,Teaching kids how #reallivingscientist do sampling of #wildlife #WomeninScience #womeninstem #nature #actuallivingscientist #OSUFW #scicomm – At Oregon State University
688,,"Thanks @mmbar28 ! Yes indeed, I have an ongoing #womeninstem #sciart series"
689,,INSPIRE Women Act signed into law this week. This bipartisan piece of leg. is to advance young women in #STEM http://www.loudountimes.com/news/article/bill_introduced_by_barbara_comstock_to_encourage_women_in_science432 … #VA10
690,,We make a cracking scab model!! #art #WomenInSTEM @girlguidingLSW Thank you @CentreoftheCell
691,,"Women in STEM SciFest@School @StWolstansTY. Looking forward to seeing the projects @ittallaght in May. @tyyearireland @GirlsHackIRL 
@KWETB"
692,,Women in STEM SciFest@School @stwolstans @WITSIreland @IoPITeachers @WiSERtcd @Intel_IRL @Womenintech_CIT @scienceirel @SmartFuturesIE
693,,So excited as a @QMULAlumni to return to @QMUL today via @CentreoftheCell visit with @girlguidingLSW #womeninSTEM day & @ggbattersea Guides
694,,Having a great time @CentreoftheCell learning about our bodies #WomenInSTEM @Guiding_LaSER @girlguidingLSW
