,Tweet_text
100,#actuallivingscientist #womeninscience kesq investigates gender gap women stem careers
101,know girl who's interested science? encourage pursue it. let's close #stem gender gap!
102,"today international
 #dayofwomeninscience! it's high time close gender gap #stem. statement: #womeninscience"
103,happy #womeninscience day all! well done working towards closing gender gap #stem
104,rt inspirefesthq: #womeninscienceday listen back annodeasr muirtheimhne aoibhinn_ni_s stem gender gap 30 min\xe2\x80\xa6
105,"#womeninscienceday listen back annodeasr muirtheimhne aoibhinn_ni_s stem gender gap 30 minutes
 patkennynt"
106,"close gender gap stem, "" you\'r worth it"" soryia nnriaz vaf_ceo youngscot tahir_mohammed mhairihunter lucyjwhyte"
107,happy international day women girls science! womenscienceday \n#womenscienceday #stem
108,"women make 30% #stem researchers, need close gender"
109,#canwomenstem150 examining roots perennial gender gap stem disciplines\n \xe2\x80\xa6 via
110,time close gender gap science. invest #stem education #dayofwomeninscience #letgirlslearn
111,today international day women girls science! it's time close gender gap stem.
112,it\xe2\x80\x99s international day women & girls science \xe2\x80\x93 opportunity 2 promote #womeninscience & work narrow gender gap stem.
113,help oasis close gender gap #stem- come talk girls career story:
114,"today international
 #dayofwomeninscience! it's high time close gender gap #stem. statement: #womeninscience"
115,"today international
 #dayofwomeninscience! it's high time close gender gap #stem."
116,it's #womeninscience day! generalelectric's goal: bridge stem gender gap ge 2020:
117,gender equality key #globalgoals! \n\nsaturday #womeninscience day.
118,fighting #stem gender gap stories trailblazing female #scientists via
119,engineering future: ge\xe2\x80\x99s goal bridge stem gender gap 2020 - ge reports
120,alarmed: gender gap stem leaves
121,"many women, standard tests used diagnose disease don't work. drpaulajohnson explains why:"
122,closing gender gap science starting learn #stem
123,ge hopes new goals narrow stem gender gap via
124,ge powering work toward closing #stem gender gap... let's see 2017
125,turning scientists celebrities help close #stem gender gap.
126,hope many companies follow! generalelectric\xe2\x80\x99s goal bridge stem gender gap 2020 - ge reports
127,debugged: women aspire fill gender gap stem #girlsinstem #stem \n
128,beating stem gender gap\n\n \xe2\x80\xa6 via
129,engineering future: ge\xe2\x80\x99s goal bridge stem gender gap 2020 - ge reports need prepare students
130,"general electric sheds light gender gap stem positions, announcing plans hire 5,000 women 2020:"
131,fighting #stem gender gap stories trailblazing female scientists pri carinbondar \n
132,"bravo, generalelectric, leading way closing #stem gender gap!"
133,girls learned closing gender gap technology presentation girlswhocode. dcpublicschools #stem
134,great see sageuk supporting girls stem event run accenture best way bridge gender gap long
135,simply creating tech jobs fill...the urgency getting girls stem: \xe2\x80\xa6 techuk sageuk
136,new effort close gender gap science #stem education starts preschool - via cbsnews
137,"educators bridge gender gap science, technology, engineering math fields? pri:"
138,"yvandutil repeatedly claimed gender gap stem, incorrect. what's bias?"
139,generalelectric trying level gender gap #stem employment
140,generalelectric making commitment close gender gap placing 20k women technical roles 2020!
141,gepublicaffairs partnering community colleges close stem gender gap? cc's 57% u.s. women & high diversity!
142,mean #stem industries successfully close gender gap? #balancetheequation
143,mean #stem industries successfully close gender
144,new effort close gender gap science starts preschool: . #edtech #stem
145,engineering future: ge's goal bridge stem gender gap '20 |
146,engineering future: ge\xe2\x80\x99s goal bridge stem gender gap 2020:
147,"produce sex-disaggregated, comparable data #science, foundation needed tackle gender gap #stem"
148,engineering future: ge\xe2\x80\x99s goal bridge stem gender gap 2020 - ge reports
149,\xe2\x80\x98innate genius\xe2\x80\x99 stereotype widen stem gender gap? via
150,"tonight 6pm 190 goodwin hall virginia_tech, join us \xe2\x80\x9ccode: debugging gender gap\xe2\x80\x9d race gender stem."
151,"tonight, 7 pm: film panel discussion tackling #stem gender gap. \xe2\x80\xa6 inclusivevt"
152,close gender gap - including #medicine & #stem - let employees control
153,bridging gender gap stem
154,girls building bridges bright bricks workshop #girlsinstem accenturecmtyuk
155,two programs aim close gender gap #stem engaging girls early
156,"think big, start early: new effort close gender gap science starts preschool:"
157,"yes! ""new effort close gender gap #science starts #preschool"" s_gunaratna via"
158,"a1: bring education 21st c, must close gender gap stem studies/careers, early"
159,fighting stem gender gap stories trailblazing female scientists
160,new effort close gender gap science #stem education starts
161,fighting #stem #gender gap stories trailblazing #female scientists
162,"#finland solve #stem #gender gap, can\xe2\x80\x99t we? \xe2\x80\xa6"
163,"gender gap peer reviewing real. advance women #stem, female participation must increase"
164,intel foundation hosts webinar rfp close stem gender gap phoenix middle school girls ht stemconnector
165,"rwanda peru malawi, girlup works reduce gender gap increasing girls #stem yearly camps."
166,girls code closing computer science gender gap | stem solutions | us news
167,#waawfoundation awele academy moves end gender gap tech stem #shehacksafr... read
168,watching code: debugging gender gap tonight sloverlibrary. offers insightful multi-disciplinary perspective gender gap
169,"age 6, (white, middle-class) girls start believing brilliance male quality. gender gap stem starts"
