,Tweet_text
95,"\xe2\x80\x9c\xe2\x80\x98hidden figures\xe2\x80\x99 oscars nods win women, diversity stem\xe2\x80\x9d (and leadership!) ibm cognitive business"
96,"women's center #tcc offering two awards female students semester, liggio leadership award, manrov stem award!"
97,"need women leadership positions too- ""to get women stem little girls need better role models"""
98,alan finkel leadership stem tide women lost science
99,ladiesthatux bringing #ux #leadership #education developing
100,"serving panel member ""cu #empowering women #leadership #stem!"" transforming women"
101,power stage women leadership deserve it! gain access: \n\n#womanofpowerconference #entrepreneur #stem
102,\xe2\x80\x9cadopting change leadership mindset: advancing women stem\xe2\x80\x9d - join us 2/16! cioec
103,meet first woman win nobel prize mathematics nctm
104,age 6 girls less likely boys think brilliant ht emerson_kathybb #women #leadership #stem
105,"leadership lessons techwomen lbenmakhlouf kevine_bajeneza #empowerment, #leadership, #podcast, #women, #stem"
106,displays leadership females 'hidden figures' (and hopefully programs like ms infinity!) may help bring women stem!
107,\xe2\x80\x98hidden figures\xe2\x80\x99 already inspiring girls go stem via
108,\xe2\x80\x9cadopting change leadership mindset: advancing women stem\xe2\x80\x9d - join us 2/16! cioec
109,"need #women with
 #stem degrees! #companies are
 becoming diverse #workforce & #leadership fortunemagazine"
110,"join ywlaarnoldgirls young women\xe2\x80\x99s leadership academy arnold family fun stem night tuesday, february 7th!"
111,\xe2\x80\x9care sure? double-checked?\xe2\x80\x9d 5 biases pushing women stem:
112,young girls don't think women brilliant - may keeping stem
113,come hear explain international leadership training women stem allowed achieve much
114,women trades leadership \xe2\x80\xa6 cbawomeninfocus womensciaust stemambassadors stem_gender
115,"youthtechgirls stem daily, ready! read it, share it, comment!"
116,#education background #stem ed #empowers #women take #leadership roles #business\n\n \n\n#girlsinstem
117,"cristina amon reappointed 3rd term dean you
 engineering, provostial advisor women stem \xe2\x80\xa6 #leadership"
118,wakeforest putting women key leadership roles like dean & #engineering chair increase women #stem -->
119,asked women (and men) gender diversity tech. here's said:
